id,department,project_name,budget_verdict,budget_detail,corrected_v11,classification_verdict,classification_detail,reclassified_v11,name_match,name_detail,ai_relevance,source
14,경찰청,치안데이터활용기술개발(R&D),mismatch,"PDF p.125 총괄표는 추경란 없는 6열 = - / -(2025 본예산A) / 3,120(요구) / 1,560(조정B) / 1,560(증감) / 순증. JSON: 2025_supplementary=3120(추경란 없음, 실제로는 2026 요구액), 2026_request=1560(정답 3,120), 2026_budget=1560(우연히 일치), change_amount=null(정답 1,560), change_rate=null(PDF는 '순증' 표기).",Y,partial,"'법률/치안'은 타당하나 사업 본질인 '데이터' 및 '보안/사이버(암호화 컴퓨팅)' 누락. 내역은 치안 비정형 데이터 암호화 컴퓨팅 기술개발 1,500(암호화 컴퓨팅 알고리즘·데이터 처리기술 900 + 암호화 데이터 친화적 AI 알고리즘 600) + 기평비 60.",Y,True,PDF '치안데이터활용기술개발(R&D) (4431-730)' 코드·소관 일치.,core,rechecked
16,고용노동부,고용노동행정(정보화),mismatch,"PDF p.141 총괄표는 추경란 없는 6열(2024결산 / 2025 본예산(A) / 2026 정부안 / 확정(B) / 증감(B-A) / (B-A)/A) = 22,378 / 21,701 / 23,739 / 23,739 / 2,038 / 9.4. JSON 한 칸 밀림: 2025_supplementary=23739(추경란 없음), 2026_budget=2038(정답 23,739), change_amount=9.4(정답 2,038), change_rate=null(정답 9.4).",Y,partial,"핵심 도메인인 '행정/전자정부'가 누락. 사업내용은 고용노동정보시스템(홈페이지·전자민원·내부업무포털·근로감독행정) 구축·운영. '보안/사이버'(보안관제 위탁운영, 해킹메일 대응훈련)와 '통신/네트워크'(본부·48개 지청·15개 위원회 정보통신망)는 근거 있으나 '데이터'는 근거 약함.",Y,True,PDF '고용노동행정(정보화) (7034-500)' 코드·소관 고용노동부 일치.,partial,rechecked
20,고용노동부,디지털 기반의 고용서비스 인프라 지원(정보화),match,"5,714/6,047/6,047/7,523/7,523/1,476/24.4 전 항목 일치",,partial,고용24·고용행정 포털 운영이 핵심이므로 '행정/전자정부(또는 고용/노동)' 누락,Y,True,,none,first_pass
23,고용노동부,일자리정보플랫폼 기반 AI 고용서비스 지원(정보화),match,"8,216/7,507/7,507/9,601/11,101/3,594/47.9 전 항목 일치",,partial,"AI 기반 맞춤형 고용서비스가 핵심인데 '데이터'만 부여, 고용/노동 및 AI 서비스 도메인 누락",Y,True,,core,first_pass
26,고용노동부,취약노동자지원,mismatch,"PDF p.219 총괄표(7열) = - / 15,989(본예산A) / 15,989(추경) / 14,795(정부안) / 25,345(확정B) / 9,356 / 58.5%. JSON은 change_rate만 null(정답 58.5). 나머지 6개 필드는 일치.",Y,appropriate,"사업 전체가 특고·플랫폼·프리랜서 등 권익보호(이음센터, 타운홀미팅, 미수금회수, 일터개선, 노동단체 지원 15,780 등)로 구성되어 '기타' 라벨 수용 가능. 다만 '노동/고용' 또는 '행정' 라벨이 더 서술적임.",,True,PDF '취약노동자지원 (2031-303)' 코드·소관 고용노동부 일치.,partial,rechecked
28,과학기술정보통신부,AGI 준비 프로젝트,match,"-,-,-,20,000,20,000,순증,순증 → 일치",,partial,사업내용은 차세대 AI 연구조직 설립 기획·초기투자로 'LLM/언어모델' 라벨 근거가 약함,Y,True,,core,first_pass
30,과학기술정보통신부,AI 공간 컴퓨팅 창업 생태계 활성화,match,"-,-,-,1,500,1,500,1,500,순증 → 일치",,partial,내역이 로봇 기반 창업지원이라 '로봇'은 타당하나 공간컴퓨팅/창업생태계 도메인 누락,Y,True,PDF 'AI·공간컴퓨팅' vs JSON 'AI 공간 컴퓨팅' — 중점·공백 차이,partial,first_pass
32,과학기술정보통신부,AI 기반 민군 유·무인복합체계 주파수 공동사용 및 운용 기술 개발,match,"-,-,-,2,800,2,800,2,800,순증 → 일치",,partial,민·군 유·무인복합체계 대상이므로 '국방/안보' 누락,Y,True,,core,first_pass
33,과학기술정보통신부,AI 기반 주파수 간섭분석 및 전파 예측기술 개발(R&D),match,"예산총괄표 -/1,000/1,000/3,070/3,670/2,670/267 — JSON 7개 필드 모두 일치",,partial,"'통신/네트워크'는 핵심, '교통/모빌리티'는 자율주행차·UAM 3차원 이동체 전파예측이라는 직접 근거 있음. '디지털전환(AX)'은 국정과제 인용문 외 사업내용상 근거가 없어 과잉 부여",Y,True,"PDF 'AI 기반 주파수 간섭분석 및 전파 예측기술 개발(R&D)(2535-335)' = JSON 일치. 단 sub_projects에 국정과제 문장·법령 조항이 내역사업으로 잘못 파싱된 항목 6건 혼입(실제 내역 2건: 1,920 / 1,750)",core,rechecked
34,과학기술정보통신부,AI 반도체 실증 지원,mismatch,"PDF p.310 예산총괄표: 18,813 / 24,370 / 98,370 / 102,370 / 113,370 / 15,000 / 15.2%. JSON은 앞 6개 항목 일치하나 change_rate가 null(=15.2 누락) → mismatch.",Y,partial,"'AI반도체'·'피지컬AI/디바이스'(온디바이스AI, AX디바이스)·'디지털전환(AX)'(AX실증지원)은 근거 있음. '데이터'는 사업목적·내역 어디에도 근거 없는 과잉 부여",Y,True,"PDF '(326) AI반도체 실증지원 (2603-311)', JSON 명칭·코드 일치",core,rechecked
35,과학기술정보통신부,AI 반도체 지원플랫폼,match,"PDF p.321: - / 3,500 / 3,500 / 2,250 / 2,250 / △1,250 / △35.7 — JSON과 부호 포함 전 항목 일치",,partial,"유일 내역이 'AI반도체 기술인재 공급 플랫폼'(2,250, 100%)이고 목적이 인력난 극복·인재 공급체계 구축이므로 '교육/인재(인력공급·채용연계)' 도메인 누락. 현재 'AI반도체' 단독",Y,True,PDF '(333) AI반도체 지원플랫폼 (2603-324)' 일치,core,rechecked
36,과학기술정보통신부,AI 분야 오픈소스 생태계 조성,match,"PDF p.327: - / - / - / 11,000 / 11,000 / 11,000 / 100.0 — JSON과 전 항목 일치, 내역(10,000+1,000)도 일치",,partial,"'LLM/언어모델' 단독. 오픈소스 대상에 'SW, LLM 등'이 있어 완전 오류는 아니나 SW/오픈소스 도메인과 '교육/인재'(단위사업 'SW융합인력양성', 커뮤니티 활성화 1,000 중 700이 인재양성) 누락, ai_tech도 null",Y,True,PDF '(219) AI 분야 오픈소스 생태계 조성 (2232-329)' 일치,core,rechecked
38,과학기술정보통신부,AI+S&T 혁신 기술 개발(R&D),match,"-,-,-,4,500,4,500,4,500,순증 → 일치",,partial,연구 분야별 특화 AI 모델 개발이 핵심이므로 'R&D 지원'만으로는 부족,Y,True,PDF 'AI+S&T 혁신 기술개발(R&D)' vs JSON '혁신 기술 개발(R&D)' — 공백 차이,core,first_pass
39,과학기술정보통신부,AI-RAN 글로벌 선도 프로젝트(R&D),match,"PDF p.347: - / - / - / 9,000 / 9,000 / 9,000 / 순증 — JSON과 일치(순증→change_rate null 타당)",,partial,'통신/네트워크'는 정확. '교육/인재'는 p.350 기대효과의 '융합인재 양성' 한 줄뿐이라 도메인 부여는 과함 → 제거 권고. rnd_stage '사업화/확산'도 부적절(연구 플랫폼 구축 단계),Y,True,PDF '(172) AI-RAN 글로벌 선도 프로젝트(R&D) (2132-419)' 일치,core,rechecked
40,과학기술정보통신부,AI-네이티브 첨단바이오 자율실험실(R&D),match,"-,-,-,13,500,13,500,13,500,순증 → 일치",,partial,첨단바이오 자율실험실 사업이므로 '의료/바이오(첨단바이오)' 도메인 누락,Y,True,,core,first_pass
41,과학기술정보통신부,AIxBio 혁신 연구거점 조성 시범사업(R&D),match,"PDF p.359: - / - / - / 10,200 / 10,200 / 10,200 / 순증 — JSON 일치. 총사업비 494억원도 p.360과 일치",,partial,"'의료/바이오'는 정확하나, 사업목적이 '기술축적·인재양성·산업확산 선순환 생태계 조성'이고 성과지표에 '석박사급 융합인재 양성 수(명)'가 별도 설정되어 '교육/인재' 누락. ai_tech null도 보완 필요. 1차 appropriate를 partial로 하향",Y,True,PDF '(36) AIxBio 혁신 연구거점 조성 시범사업(R&D) (1138-502)' 일치,core,rechecked
43,과학기술정보통신부,AI·블록체인 융합 기반 자율형 고신뢰 핵심기술 개발(R&D),match,"PDF p.372: - / - / - / 2,000(요구) / 3,246(본예산) / 3,246 / 순증 — JSON과 일치",,wrong,"'LLM/언어모델'은 근거 전무. 실체는 AI-블록체인 융합 고신뢰 디지털 인프라·분산형 AI(DAI)·데이터 신뢰성으로, 블록체인/분산원장·보안(사이버)·데이터·AI신뢰안전이 적정. 또한 sub_projects 2번째 항목은 국정과제 서술문 오파싱이며 실제 내역사업 아님",Y,True,PDF '(146) AI·블록체인 융합 기반 자율형 고신뢰 핵심기술 개발(R&D) (2033-400)' 일치,core,rechecked
44,과학기술정보통신부,AI기반 개방형 자율 디지털트윈 핵심기술 개발(R&D),match,"PDF -/-/-/6,600/6,600/순증/순증 과 JSON 일치(증감 null 처리)",,partial,산업현장 디지털트윈 자동화·자율운영 사업으로 '건설/스마트시티'보다 제조/산업·디지털전환(AX)이 적절,Y,True,PDF '핵심기술개발' vs JSON '핵심기술 개발(R&D)' 표기 차이,core,first_pass
46,과학기술정보통신부,AI기반 안전 관리분야 디지털 트윈 선도,match,"PDF -/-/-/6,000/6,000/순증/순증 과 JSON 일치",,partial,"질병·생활·산업 안전 디지털트윈 사업으로 '건설/스마트시티'는 부분적, 안전/재난·디지털전환(AX) 성격 누락",Y,True,,core,first_pass
47,과학기술정보통신부,AI기반 어장 공간정보 빅데이터 플랫폼 구축 및 활용,match,"PDF 3,500/2,650/2,650/2,385/2,385/△265/△10 과 JSON 일치",,partial,수산양식(김·전복) 대상 사업으로 '해양/수산' 도메인 누락,Y,True,,core,first_pass
49,과학기술정보통신부,AI기반가상융합산업육성,match,"PDF -/-/-/4,500/4,500/4,500/100 과 JSON 일치",,partial,생산·물류 산업혁신 및 생활밀착형 AI가상융합 서비스로 '디지털전환(AX)' 누락,Y,True,,core,first_pass
60,과학기술정보통신부,AI 응용제품 신속 상용화 지원사업(보안‧네트워크‧생활 등),match,"PDF -/-/-/60,000/40,500/40,500/순증 과 JSON 일치",,partial,"내역에 'AI 기반 차세대 보안 제품 상용화 지원'이 있어 '보안/사이버', 네트워크 도메인 누락",Y,True,,core,first_pass
61,과학기술정보통신부,AI일상화 확산,match,"PDF p.500: 38,300 / 30,870 / 30,870 / 8,296 / 8,296 / △22,574 / △73.1 — JSON과 부호 포함 일치, 내역별 값도 모두 일치",,partial,"2026 잔존 내역은 보건의료(6,636)·심리케어돌봄(1,660) 둘뿐. 'LLM/언어모델'·'의료/바이오'는 타당하나 '디지털전환(AX)'은 근거 약하고 '사회·복지/돌봄'(AI 기본사회, 심리케어) 누락. 종료 내역 기준 라벨이 혼재",Y,True,PDF '(316) AI일상화 확산 (2602-338)' 일치,core,rechecked
66,과학기술정보통신부,AI통합바우처,mismatch,"PDF p.534 지출계획 총괄표는 2행: 사업출연금 -/-/-/80,425/80,425/80,425/순증, 민간경상보조 -/-/-/9,350/9,350/9,350/순증 (합 89,775). JSON은 민간경상보조(데이터바우처) 1행만 담아 2026_request·2026_budget·change_amount 모두 9,350 → 사업규모 대폭 과소. 기능별 합계(2024 113,150/2025 103,591/2026 89,775) 및 내역합(18,000+30,000+27,625+4,800+9,350)도 미반영. sub_projects 2026값(2,092.6/3,487.7/3,211.6/558)은 PDF의 18,000/30,000/27,625/4,800과 불일치",Y,appropriate,"'데이터'(데이터바우처), '클라우드/컴퓨팅'(고성능컴퓨팅·클라우드 보급), '디지털전환(AX)'(AX원스톱·AI바우처) 모두 내역과 정확히 대응",,True,"PDF '(42) AI통합바우처 (2602-336)' 일치. 단 5번째 내역 '데이터 바우처'(9,350)가 sub_projects에 누락",core,rechecked
67,과학기술정보통신부,AI혁신을 위한 데이터 안전 활용 지원 사업,match,"PDF -/-/-/5,000/5,000/5,000/순증 과 JSON 일치",,partial,"데이터안심구역 확산 사업으로 '데이터' 도메인 누락, 보안/사이버 단독 분류는 불충분",Y,True,PDF 'AI혁신을 위한 데이터안전활용 지원' vs JSON '…데이터 안전 활용 지원 사업' 공백·접미 차이,partial,first_pass
68,과학기술정보통신부,AI활용 미인증 기자재 온라인 모니터링 시스템 구축,match,PDF 총괄표 요구안 76/본예산 76/증감 76/100 과 JSON 일치(2024·2025 공란),,partial,전파 적합성평가(KC인증) 단속·모니터링 시스템으로 '행정/전자정부' 성격이 더 적절,Y,True,,core,first_pass
71,과학기술정보통신부,ICT 전략융합 R%26D 바우처 지원(R&D),match,"PDF -/-/-/6,900/6,900/순증/순증 과 JSON 일치",,partial,ICT 전략기술 전반 R&D 바우처로 AI 특정 도메인 근거 부족,Y,True,JSON의 'R%26D'는 &의 URL 인코딩 오류이나 실질 동일(PDF: ICT전략융합R&D바우처지원사업),partial,first_pass
72,과학기술정보통신부,ICT기반 디지털서비스 탄소중립 혁신기술개발(R&D),match,"PDF -/-/-/5,625/5,625/5,625/순증 과 JSON 일치",,partial,"디지털 탄소중립 핵심기술 사업으로 '건설/스마트시티'는 근거 부족, 환경/탄소 성격이 핵심",Y,True,,partial,first_pass
76,과학기술정보통신부,PIM인공지능반도체핵심기술개발(R&D),match,"PDF 27,767/41,458/-/27,014/27,014/△14,444/△34.8 과 JSON 일치",,appropriate,'PIM 혁신기반기술'에 인력양성 포함되어 교육/인재 분류도 근거 있음,,False,PDF 'PIM인공지능반도체 핵심기술개발(설계)(R&D)' 중 사업 구분자 '(설계)'가 JSON 사업명에서 누락,core,first_pass
77,과학기술정보통신부,"SW컴퓨팅산업원천기술개발(R&D,정보화)",match,"PDF p.620(연구개발활동비등 360-05): 111,814 / 94,695 / 94,695 / 77,201 / 77,201 / △17,494 / △18.5 — JSON 일치. 내역 6개 값도 모두 일치",,partial,"'데이터'(빅데이터핵심기술 12,916)·'클라우드/컴퓨팅'(컴퓨팅핵심기술 33,985) 정확. 'AI반도체'는 2024년 종료 내역(2025~26 0원) 기준이라 2026엔 근거 소멸, '디지털전환(AX)'도 약함. SW/오픈소스(단위사업 'SW·디지털콘텐츠기술개발', 성과지표 '공개SW 개발 활성화')와 '교육/인재'(SW스타랩·글로벌AI프론티어랩) 누락",Y,True,"PDF '(23) SW컴퓨팅산업원천기술개발(R&D) (2231-323)'. JSON '(R&D,정보화)' 표기 차이는 있으나 코드 동일·실질 동일 사업",partial,rechecked
78,과학기술정보통신부,World Best LLM 데이터 활용 지원,match,"PDF p.630: - / - / 30,000(추경) / 30,000 / 30,000 / - / - — JSON 일치. 내역(WBL데이터지원 25,000/평가검증 5,000)도 일치",,partial,'LLM/언어모델'·'데이터' 및 ai_tech는 정확. '교육/인재'는 근거 없음 — 2개 내역 모두 데이터 공급·가공과 평가·검증(리더보드). 상위 정책 인용문의 'GPU·데이터·인재 패키지'는 본 사업 내역이 아님. AI안전/신뢰(안전성 검증·AI안전연구소 협약) 보완 여지,Y,True,PDF '(318) World Best LLM 데이터 활용 지원 (2602-356)' 일치,core,rechecked
79,과학기술정보통신부,가상융합기반피지컬AI핵심기술개발(R&D),match,"PDF -/-/-/5,063/5,063/5,063/순증 과 JSON 일치",,partial,피지컬AI 학습용 합성데이터 원천기술 개발로 '문화/콘텐츠'는 소관과 기준일 뿐 내용상 근거 약함,Y,True,,core,first_pass
81,과학기술정보통신부,강원 의료 AX 산업 실증 허브 조성,match,"PDF 총괄표 '- / - / - / 2,000 / 2,000 / 2,000 / 순증'과 일치(증감률 순증→null 타당)",,partial,'AI반도체'는 사업내용(의료 AX 실증)과 무관하여 부적절,Y,True,,core,first_pass
83,과학기술정보통신부,건전정보문화조성(정보화),match,"PDF p.664: 4,883 / 4,194 / -(추경없음) / 10,157 / 10,157 / 5,963 / 142.2 — JSON 일치. 2026 내역(256/5,901/1,000/3,000=10,157)도 일치",,partial,"'문화/콘텐츠'는 사업명에서 기계적으로 유도된 라벨. 실체는 과의존 예방·해소(5,901)·디지털스트레스 진단대응(1,000)·AI역기능 대응 실증(3,000)이고 정보문화의 달은 256(2.5%)뿐 → 'AI안전/신뢰·역기능', '디지털포용/사회'(소관 디지털포용정책팀) 누락. 다만 '건전정보문화확산' 내역이 실재하므로 wrong까지는 아님",Y,True,PDF '(123) 건전정보문화조성 (1945-504)' 일치,partial,rechecked
86,과학기술정보통신부,고성능 AI(Hyper-AI) 네트워크 기반조성 사업,match,"PDF p.686: - / - / - / 8,300 / 8,300 / 8,300 / 순증 — 7개 항목 일치. 단 sub_projects는 사업명이 어절 단위로 쪼개지고 b2025=8,300, b2026=8,297/1/1/1로 기재된 명백한 파싱 오류(PDF상 단일 내역 8,300, 2025년 예산 없음)",,wrong,"'교육/인재'는 근거 전무한 오분류. 프로그램/단위사업이 '통신정책지원 - 네트워크기반조성(일반)'이고 내용은 AI 워크로드 지원 선도망 구축(파일럿 8,000+생태계 협력 300), 수혜자는 이통사·AI 산업체. 적정 도메인은 통신/네트워크(주), 클라우드/컴퓨팅, 피지컬AI/디바이스(로봇·자율차·드론 실증)",Y,True,PDF '(273) 고성능 AI(Hyper-AI) 네트워크 기반조성 사업(신규) (2433-305)' 일치,core,rechecked
87,과학기술정보통신부,공공AX 프로젝트,mismatch,"PDF p691 예산총괄표: 2024결산 공란(신규), 2025본예산 15,000 / 추경 15,000 / 2026요구 60,000 / 2026본예산 60,000 / 증감 45,000 / 300%. JSON은 change_rate=null (PDF 300%)만 불일치. 나머지 6개 필드 및 2024결산 null 표기는 일치.",Y,appropriate,"공공부문 AI 접목·공공서비스 혁신·AI 대전환(AX) 가속화 → ai_domains '행정/전자정부','디지털전환(AX)' 타당. is_rnd=false도 출연 방식 보급·실증 사업 성격에 부합.",,True,JSON '과학기술정보통신부_공공AX 프로젝트' = PDF '(321) 공공AX 프로젝트 (2602-364)'. 코드 2602-364 일치.,core,rechecked
88,과학기술정보통신부,공공행정서비스혁신기술개발(R&D),mismatch,"PDF p699 예산총괄표: 7,047 / 11,324 / 11,324 / 11,054 / 9,804 / △1,520 / △13.4%. JSON은 change_rate=null만 불일치(나머지 6개 필드 및 change_amount -1520 일치).",Y,partial,"사업목적은 '치안, 관세, 경호 등 공공행정 서비스 첨단화' R&D. ai_domains의 '법률/치안','재난/안전'은 타당하나 '통신/네트워크'는 근거 없음(내역사업 어디에도 통신·네트워크 기술개발 없음). '행정/전자정부' 누락. rnd_stage '실증/시범'은 현장적용 R&D 성격상 수용 가능.",Y,True,JSON '공공행정서비스혁신기술개발(R&D)' = PDF '(104) 공공행정서비스혁신기술개발(R&D) (1531-430)'.,partial,rechecked
90,과학기술정보통신부,과학기술혁신인재양성(R&D),match,"52,120/59,850/59,850/76,881/76,881/17,031/28.4 일치",,partial,내역이 양자·원자력·이차전지·합성생물학·가속기 등 AI 무관 분야 다수로 'AI반도체·피지컬AI' 라벨은 과대,Y,True,,partial,first_pass
93,과학기술정보통신부,광주과학기술원 연구 운영비 지원(R&D),match,"PDF p754 예산총괄표: 93,124 / 97,634 / 101,384 / 117,461 / 120,610 / 22,976 / 23.5 — JSON 7개 필드 전부 일치.",,partial,"ai_domains가 'R&D 지원' 단독인데, 기관고유사업비 37,222 중 학사사업비 23,852이 최대 항목이고 사업목적이 '고급 과학기술인재 양성', 소관도 미래인재정책국 미래인재양성과 → '교육/인재' 도메인 누락. AI 도메인도 AI국가대표양성·AI전사양성·AI분야 신규교원 반영분이 있어 일부 누락.",Y,True,JSON '광주과학기술원 연구 운영비 지원(R&D)' = PDF '(187) 광주과학기술원 연구운영비 지원(R&D) (2231-405)' (띄어쓰기 차이만).,partial,rechecked
97,과학기술정보통신부,국가 플래그십 초고성능컴퓨팅 인프라 고도화 사업(R&D),match,"18,183/11,194/11,194/68,431/68,431/57,237/511.3 일치",,appropriate,,,False,PDF '국가 플래그십 초고성능컴퓨팅 인프라 고도화(R&D)'로 JSON에 '사업' 단어 추가됨,partial,first_pass
98,과학기술정보통신부,국가과학기술연구회 연구 운영비 지원(R&D),match,"PDF p788 예산총괄표: 194,792 / 247,439 / 247,439 / 370,614 / 360,849 / 113,410 / 45.8 — JSON 7개 필드 전부 일치.",,partial,"'R&D 지원'만으로는 불충분. 2026 산출근거에 출연(연) 인재생태계 조성사업 14,880(미래인재 양성 8,760 + 인재혁신 지원 6,120 신규) → '교육/인재' 누락. 또 국가 과학AI 연구지원센터(NAIS) 설립 40,000 신규 반영으로 AI 인프라/컴퓨팅 도메인도 누락. rnd_stage '사업화/확산'은 융합연구·글로벌TOP전략연구단 중심 구성과 어긋나는 편.",Y,True,JSON '국가과학기술연구회 연구 운영비 지원(R&D)' = PDF '국가과학기술연구회 연구운영비지원(R&D) (2241-401)'.,partial,rechecked
105,과학기술정보통신부,나노·소재기술개발(R&D),match,"PDF p834 예산총괄표: 223,048 / 300,436 / 300,436 / 330,746 / 330,746 / 30,310 / 10.1 — JSON 7개 필드 전부 일치. (sub_projects는 '(R&D)' 1.5 등 파싱 오류가 있으나 총괄표 필드는 정확)",,partial,"내역사업이 글로벌공급망첨단소재, 국가전략기술미래소재, 소재글로벌영커넥트, 나노미래소재원천, 기반구축(나노팹)으로 구성된 소재·나노 원천기술 R&D. ai_domains '제조/스마트팩토리'는 부정확하며 실제로는 '소재/부품' 또는 'R&D 지원' 계열이 맞음. AI 도메인 해당 없음.",Y,True,JSON '나노·소재기술개발(R&D)' = PDF '(1) 나노·소재기술개발(R&D) (1139-301)'.,none,rechecked
